id,uuid,name,description,plan_type_id,plan_status_id,price,display_order,yearly_plan_id,minimum_charge,includes_studio_management,currency_code,created,created_by,last_updated,last_updated_user_id
206,7152f28f-a3a7-443f-8170-ae45c3fb4094,Unlimited - 1 Photographer,Wedding Pro,8,1,400.000,3,,,1,USD,2017-03-27 15:41:35.000000,,2017-09-08 14:47:09.000000,233
148,13e10702-1689-47f6-8961-720dbd8d9d8c,"Plan 25,000",Emerging Pro,1,1,36.000,4,147,,1,CAD,2016-08-29 10:48:57.000000,,,
273,3cf59614-666e-49ae-956a-a1d676f10dda,"BF USD 50,000 Yearly",This is a special plan created for Black Friday 2020.,3,2,400.000,255,,,1,USD,2020-09-30 12:47:00.000000,66651,,
291,9c59d135-5ba6-432a-bec0-8acad49381c3,"BF AUD 1,500 Yearly",This is a special plan created for Black Friday 2020.,3,2,140.000,101,,,1,AUD,2020-10-01 12:04:11.000000,66651,,
108,1ecd7151-96a0-4f5a-8284-673ec70cf801,Weddings & Love,115 songs,5,1,4.000,1,107,,0,GBP,2016-08-29 10:48:56.000000,,,
265,d424f21d-ee64-4167-9f7a-2d526ed3bfc1,Unlimited - 7 Photographers,Unlimited plan for 7 total photographers,7,2,160.000,90,,,1,USD,2020-05-26 14:06:34.000000,184065,2020-05-26 14:08:30.000000,184065
94,627dab20-b99f-4ff0-82f5-dc0dd0fe7ecf,"Plan 1,500",Beginner,1,1,8.000,2,93,,1,GBP,2016-08-29 10:48:56.000000,,,
68,b856e3d8-9377-4f44-9ec9-8748e1db2e9c,Brett Matthews Photography,"$100 for 400,000",1,2,100.000,68,,,1,USD,2014-09-19 20:54:18.000000,234,2015-06-24 19:26:06.000000,27817
232,a72f9906-0bf8-457c-86e9-604a49c44788,Unlimited Free - GBP,Unlimited free plan for conference collaborators.,7,2,0.000,3,,0.00,1,GBP,2018-05-15 15:44:13.000000,27817,,
84,a3534516-e3fe-49ae-a371-d026e834650c,n-a,n-a,1,3,100.000,80,,,0,USD,2015-09-10 20:22:12.000000,234,2016-07-26 14:39:59.000000,233
64,823c20ec-8d6a-4df6-8ee4-4b7e780b208b,"150,000 Photo Monthly Plan","",1,3,70.000,87,,,1,USD,2014-03-04 10:28:52.000000,234,2016-07-26 14:42:36.000000,233
18,e66ffed5-2301-4bb6-aed5-ed3895265ddd,1500 Free,1500 photos per month free,1,3,0.000,0,,,0,USD,2011-07-04 00:40:04.000000,234,2016-07-26 14:54:01.000000,233
163,da4934a0-2fa7-4c1f-a92c-9a2354f117a9,Boudoir & Fashion,115 songs,6,1,60.000,1,,,0,CAD,2016-08-29 10:48:57.000000,,,
211,558b0bc1-a5c2-4f83-8477-a10899efa416,Weddings & Love,115 songs,5,1,3.000,1,210,,0,USD,2017-03-27 15:41:35.000000,,2017-10-12 13:09:14.000000,234
285,78ae717b-1880-4124-bcfb-99e7d70be152,"BF CAD 50,000 Yearly",This is a special plan created for Black Friday 2020.,3,2,500.000,255,,,1,CAD,2020-09-30 13:09:13.000000,66651,,
143,c300f4a9-aa0f-4c63-8f57-b8027660eb84,"Plan 1,500","",3,1,120.000,1,,,1,CAD,2016-08-29 10:48:57.000000,,2019-07-29 16:33:12.000000,27817
275,dd52a8bd-7c68-4315-9f76-81ed77f73e6c,"BF USD 100,000 Yearly",This is a special plan created for Black Friday 2020.,3,2,500.000,255,,,1,USD,2020-09-30 12:49:27.000000,66651,,
136,563c85e8-dfbd-48e6-9986-2bc29743ac70,High School Seniors,115 songs,6,1,50.000,1,,,0,EUR,2016-08-29 10:48:57.000000,,,
69,fafd0bca-4a2d-495f-bd70-5e1c3394327e,Internal-Free- 5K,Forever free plan type to use as needed.,3,3,0.000,87,21,,1,USD,2014-10-12 14:05:39.000000,234,2016-07-26 15:01:56.000000,233
292,a27bf49a-1706-4426-a547-d0d2b71ea22a,"BF AUD 5,000 Monthly",This is a special plan created for Black Friday 2020.,1,2,28.000,150,,,1,AUD,2020-10-01 12:04:55.000000,66651,,
